rank,player,main,secondary,third,fourth
1,Mango,Fox,Falco,Jigglypuff,Captain Falcon
2,Armada,Peach,Fox,Young Link,None
3,Hungrybox,Jigglypuff,None,None,None
4,Ken,Marth,Fox,None,None
5,Mew2King,Marth,Sheik,Fox,Peach
6,Leffen,Fox,None,None,None
7,PPMD,Falco,Marth,None,None
8,Azen,Marth,Sheik,Fox,Falco
9,Zain,Marth,None,None,None
10,Plup,Sheik,Samus,Fox,Luigi
11,ChuDat,Ice Climbers,Young Link,Pikachu,Fox
12,Axe,Pikachu,Falco,Marth,Young Link
13,PC Chris,Fox,Falco,Sheik,Peach
14,Wizzrobe,Captain Falcon,None,None,None
15,Isai,Captain Falcon,Fox,Sheik,None
16,SFAT,Fox,None,None,None
17,KoreanDJ,Sheik,Fox,Marth,None
18,S2J,Captain Falcon,Falco,None,None
19,Hax$,Fox,Captain Falcon,None,None
20,Shroomed,Sheik,Dr. Mario,Marth,None
21,aMSa,Yoshi,None,None,None
22,iBDW,Fox,None,None,None
23,Wobbles,Ice Climbers,None,None,None
24,HugS,Samus,None,None,None
25,Lucky,Fox,Captain Falcon,None,None
26,Westballz,Falco,Fox,Captain Falcon,None
27,Chillin,Fox,Sheik,None,None
28,Zhu,Falco,Fox,None,None
29,PewPewU,Marth,Fox,None,None
30,CaptainJack,Sheik,Dr. Mario,Ganondorf,None
31,KirbyKaze,Sheik,Fox,Peach,None
32,Jman,Fox,None,None,None
33,Colbol,Fox,Marth,None,None
34,Fly Amanita,Ice Climbers,Sheik,None,None
35,n0ne,Captain Falcon,Ganondorf,None,None
36,Silent Wolf,Fox,None,None,None
37,Darkrain,Captain Falcon,None,None,None
38,Amsah,Sheik,Fox,Marth,None
39,Drephen,Sheik,Zelda,None,None
40,Fiction,Fox,Peach,Falco,Marth
41,Swedish Delight,Sheik,Peach,None,None
42,Ice,Fox,Sheik,Marth,None
43,Duck,Samus,None,None,None
44,Kage,Ganondorf,None,None,None
45,Cactuar,Fox,Marth,None,None
46,Nintendude,Ice Climbers,Jigglypuff,Marth,None
47,Taj,Marth,Mewtwo,None,None
48,Cort,Peach,Captain Falcon,Marth,None
49,Druggedfox,Fox,Sheik,Falco,Marth
50,JAVI,Fox,None,None,None
51,Ryan Ford,Fox,Sheik,Falco,Dr. Mario
52,Sastopher,Peach,None,None,None
53,SilentSpectre,Captain Falcon,None,None,None
54,Lovage,Fox,Sheik,Captain Falcon,None
55,Forward,Falco,Sheik,Fox,None
56,Darc,Jigglypuff,Fox,Marth,None
57,Wes,Samus,None,None,None
58,Kels,Fox,Falco,Sheik,Marth
59,Gahtzu,Captain Falcon,None,None,None
60,lloD,Peach,None,None,None
61,Eggm,Fox,Falco,None,None
62,Bladewise,Peach,None,None,None
63,Trif,Peach,None,None,None
64,Crush,Fox,None,None,None
65,Ka-Master,Luigi,Captain Falcon,None,None
66,Tope,Sheik,None,None,None
67,Professor Pro,Fox,None,None,None
68,Kalamazhu,Peach,None,None,None
69,Scar,Captain Falcon,None,None,None
70,Lambchops,Falco,None,None,None
71,moky,Fox,None,None,None
72,Ginger,Falco,None,None,None
73,KJH,Fox,None,None,None
74,Captain Faceroll,Sheik,None,None,None
75,Eddy Mexico,Luigi,None,None,None
76,VaNz,Peach,Fox,Sheik,None
77,Abate,Luigi,Falco,None,None
78,Darkatma,Sheik,Peach,Fox,None
79,NEO,Roy,Marth,Sheik,None
80,The King,Jigglypuff,None,None,None
81,HomeMadeWaffles,Falco,Fox,Dr. Mario,None
82,MikeHaze,Fox,None,None,None
83,DieSuperFly,Sheik,None,None,None
84,Prince Abu,Jigglypuff,None,None,None
85,Swiftbass,Marth,Fox,None,None
86,Zgetto,Fox,Falco,None,None
87,Spark,Sheik,None,None,None
88,Husband,Marth,None,None,None
89,Eddie,Ganondorf,None,None,None
90,Dope,Falco,None,None,None
91,Wife,Peach,None,None,None
92,Bananas,Ice Climbers,None,None,None
93,Kei,Fox,Peach,Ice Climbers,Young Link
94,Mike G,Peach,None,None,None
95,Medz,Fox,Marth,None,None
96,ARMY,Ice Climbers,None,None,None
97,Rob$,Falco,Sheik,None,None
98,Tai,Marth,None,None,None
99,Rishi,Marth,Fox,Donkey Kong,None
100,AbsentPage,Fox,Sheik,Marth,None
